Test Instrument:,Cary 500 (1437)
Part No.:,450FS10-25
Lot No.:,28896
Serial No.:,N118-06
A.O.I. (deg):,0
Temp. (C.):,23
Wavelength (nm),Tx. (%)
430.0000,  0.0045
430.1000,  0.0033
430.2000,  0.0021
430.3000,  0.0037
430.4000,  0.0034
430.5000,  0.0040
430.6000,  0.0045
430.7000,  0.0046
430.8000,  0.0048
430.9000,  0.0049
431.0000,  0.0048
431.1000,  0.0048
431.2000,  0.0048
431.3000,  0.0049
431.4000,  0.0050
431.5000,  0.0052
431.6000,  0.0055
431.7000,  0.0057
431.8000,  0.0059
431.9000,  0.0061
432.0000,  0.0063
432.1000,  0.0065
432.2000,  0.0067
432.3000,  0.0069
432.4000,  0.0070
432.5000,  0.0072
432.6000,  0.0073
432.7000,  0.0075
432.8000,  0.0077
432.9000,  0.0078
433.0000,  0.0080
433.1000,  0.0082
433.2000,  0.0084
433.3000,  0.0087
433.4000,  0.0090
433.5000,  0.0093
433.6000,  0.0096
433.7000,  0.0100
433.8000,  0.0104
433.9000,  0.0108
434.0000,  0.0112
434.1000,  0.0117
434.2000,  0.0121
434.3000,  0.0125
434.4000,  0.0128
434.5000,  0.0131
434.6000,  0.0133
434.7000,  0.0135
434.8000,  0.0136
434.9000,  0.0138
435.0000,  0.0140
435.1000,  0.0143
435.2000,  0.0148
435.3000,  0.0153
435.4000,  0.0159
435.5000,  0.0166
435.6000,  0.0173
435.7000,  0.0181
435.8000,  0.0188
435.9000,  0.0196
436.0000,  0.0204
436.1000,  0.0213
436.2000,  0.0222
436.3000,  0.0231
436.4000,  0.0240
436.5000,  0.0250
436.6000,  0.0259
436.7000,  0.0269
436.8000,  0.0279
436.9000,  0.0289
437.0000,  0.0301
437.1000,  0.0314
437.2000,  0.0328
437.3000,  0.0342
437.4000,  0.0358
437.5000,  0.0373
437.6000,  0.0390
437.7000,  0.0407
437.8000,  0.0425
437.9000,  0.0444
438.0000,  0.0465
438.1000,  0.0488
438.2000,  0.0513
438.3000,  0.0539
438.4000,  0.0568
438.5000,  0.0597
438.6000,  0.0628
438.7000,  0.0659
438.8000,  0.0691
438.9000,  0.0725
439.0000,  0.0760
439.1000,  0.0798
439.2000,  0.0839
439.3000,  0.0883
439.4000,  0.0931
439.5000,  0.0983
439.6000,  0.1038
439.7000,  0.1097
439.8000,  0.1160
439.9000,  0.1227
440.0000,  0.1297
440.1000,  0.1373
440.2000,  0.1453
440.3000,  0.1540
440.4000,  0.1633
440.5000,  0.1733
440.6000,  0.1840
440.7000,  0.1955
440.8000,  0.2079
440.9000,  0.2210
441.0000,  0.2350
441.1000,  0.2499
441.2000,  0.2658
441.3000,  0.2829
441.4000,  0.3013
441.5000,  0.3211
441.6000,  0.3427
441.7000,  0.3663
441.8000,  0.3921
441.9000,  0.4203
442.0000,  0.4510
442.1000,  0.4843
442.2000,  0.5204
442.3000,  0.5595
442.4000,  0.6017
442.5000,  0.6474
442.6000,  0.6970
442.7000,  0.7510
442.8000,  0.8099
442.9000,  0.8743
443.0000,  0.9451
443.1000,  1.0228
443.2000,  1.1083
443.3000,  1.2023
443.4000,  1.3059
443.5000,  1.4200
443.6000,  1.5457
443.7000,  1.6844
443.8000,  1.8376
443.9000,  2.0067
444.0000,  2.1937
444.1000,  2.4003
444.2000,  2.6288
444.3000,  2.8815
444.4000,  3.1613
444.5000,  3.4715
444.6000,  3.8159
444.7000,  4.1990
444.8000,  4.6256
444.9000,  5.1007
445.0000,  5.6296
445.1000,  6.2176
445.2000,  6.8700
445.3000,  7.5922
445.4000,  8.3899
445.5000,  9.2692
445.6000, 10.2366
445.7000, 11.2989
445.8000, 12.4628
445.9000, 13.7340
446.0000, 15.1169
446.1000, 16.6133
446.2000, 18.2217
446.3000, 19.9367
446.4000, 21.7492
446.5000, 23.6458
446.6000, 25.6099
446.7000, 27.6221
446.8000, 29.6611
446.9000, 31.7043
447.0000, 33.7291
447.1000, 35.7130
447.2000, 37.6348
447.3000, 39.4749
447.4000, 41.2160
447.5000, 42.8435
447.6000, 44.3461
447.7000, 45.7156
447.8000, 46.9474
447.9000, 48.0405
448.0000, 48.9972
448.1000, 49.8229
448.2000, 50.5257
448.3000, 51.1161
448.4000, 51.6059
448.5000, 52.0080
448.6000, 52.3354
448.7000, 52.6009
448.8000, 52.8163
448.9000, 52.9922
449.0000, 53.1375
449.1000, 53.2599
449.2000, 53.3652
449.3000, 53.4578
449.4000, 53.5411
449.5000, 53.6173
449.6000, 53.6878
449.7000, 53.7535
449.8000, 53.8148
449.9000, 53.8716
450.0000, 53.9233
450.1000, 53.9692
450.2000, 54.0083
450.3000, 54.0399
450.4000, 54.0633
450.5000, 54.0786
450.6000, 54.0859
450.7000, 54.0858
450.8000, 54.0791
450.9000, 54.0662
451.0000, 54.0480
451.1000, 54.0247
451.2000, 53.9971
451.3000, 53.9657
451.4000, 53.9316
451.5000, 53.8957
451.6000, 53.8595
451.7000, 53.8243
451.8000, 53.7915
451.9000, 53.7624
452.0000, 53.7383
452.1000, 53.7204
452.2000, 53.7097
452.3000, 53.7067
452.4000, 53.7117
452.5000, 53.7240
452.6000, 53.7419
452.7000, 53.7627
452.8000, 53.7822
452.9000, 53.7952
453.0000, 53.7952
453.1000, 53.7746
453.2000, 53.7246
453.3000, 53.6356
453.4000, 53.4966
453.5000, 53.2958
453.6000, 53.0205
453.7000, 52.6572
453.8000, 52.1922
453.9000, 51.6123
454.0000, 50.9049
454.1000, 50.0592
454.2000, 49.0669
454.3000, 47.9227
454.4000, 46.6249
454.5000, 45.1764
454.6000, 43.5844
454.7000, 41.8607
454.8000, 40.0212
454.9000, 38.0856
455.0000, 36.0757
455.1000, 34.0152
455.2000, 31.9280
455.3000, 29.8379
455.4000, 27.7675
455.5000, 25.7378
455.6000, 23.7681
455.7000, 21.8750
455.8000, 20.0728
455.9000, 18.3727
456.0000, 16.7824
456.1000, 15.3061
456.2000, 13.9447
456.3000, 12.6959
456.4000, 11.5552
456.5000, 10.5161
456.6000,  9.5712
456.7000,  8.7127
456.8000,  7.9332
456.9000,  7.2254
457.0000,  6.5831
457.1000,  6.0003
457.2000,  5.4720
457.3000,  4.9933
457.4000,  4.5601
457.5000,  4.1682
457.6000,  3.8140
457.7000,  3.4939
457.8000,  3.2044
457.9000,  2.9424
458.0000,  2.7051
458.1000,  2.4898
458.2000,  2.2941
458.3000,  2.1159
458.4000,  1.9533
458.5000,  1.8047
458.6000,  1.6688
458.7000,  1.5445
458.8000,  1.4308
458.9000,  1.3268
459.0000,  1.2316
459.1000,  1.1447
459.2000,  1.0653
459.3000,  0.9926
459.4000,  0.9260
