Test Instrument:,sample1,,
Part No.:,550FS10-25
Lot No.:,27851
Serial No.:,N118-11
A.O.I. (deg):,0
Temp. (C.):,23
Wavelength (nm),Tx. (%)
530.0000,  0.0047
530.2000,  0.0086
530.4000,  0.0092
530.6000,  0.0075
530.8000,  0.0092
531.0000,  0.0093
531.2000,  0.0099
531.4000,  0.0108
531.6000,  0.0114
531.8000,  0.0123
532.0000,  0.0131
532.2000,  0.0139
532.4000,  0.0149
532.6000,  0.0159
532.8000,  0.0171
533.0000,  0.0185
533.2000,  0.0200
533.4000,  0.0216
533.6000,  0.0233
533.8000,  0.0251
534.0000,  0.0270
534.2000,  0.0289
534.4000,  0.0309
534.6000,  0.0330
534.8000,  0.0353
535.0000,  0.0378
535.2000,  0.0406
535.4000,  0.0436
535.6000,  0.0470
535.8000,  0.0506
536.0000,  0.0546
536.2000,  0.0590
536.4000,  0.0639
536.6000,  0.0692
536.8000,  0.0751
537.0000,  0.0817
537.2000,  0.0891
537.4000,  0.0973
537.6000,  0.1064
537.8000,  0.1164
538.0000,  0.1275
538.2000,  0.1397
538.4000,  0.1532
538.6000,  0.1681
538.8000,  0.1846
539.0000,  0.2030
539.2000,  0.2235
539.4000,  0.2464
539.6000,  0.2722
539.8000,  0.3012
540.0000,  0.3340
540.2000,  0.3709
540.4000,  0.4128
540.6000,  0.4601
540.8000,  0.5138
541.0000,  0.5749
541.2000,  0.6444
541.4000,  0.7238
541.6000,  0.8146
541.8000,  0.9187
542.0000,  1.0387
542.2000,  1.1773
542.4000,  1.3381
542.6000,  1.5251
542.8000,  1.7432
543.0000,  1.9982
543.2000,  2.2969
543.4000,  2.6473
543.6000,  3.0592
543.8000,  3.5446
544.0000,  4.1178
544.2000,  4.7965
544.4000,  5.6011
544.6000,  6.5557
544.8000,  7.6867
545.0000,  9.0222
545.2000, 10.5897
545.4000, 12.4136
545.6000, 14.5117
545.8000, 16.8912
546.0000, 19.5449
546.2000, 22.4487
546.4000, 25.5600
546.6000, 28.8186
546.8000, 32.1492
547.0000, 35.4672
547.2000, 38.6843
547.4000, 41.7167
547.6000, 44.4913
547.8000, 46.9516
548.0000, 49.0615
548.2000, 50.8067
548.4000, 52.1936
548.6000, 53.2464
548.8000, 54.0030
549.0000, 54.5094
549.2000, 54.8150
549.4000, 54.9678
549.6000, 55.0109
549.8000, 54.9806
550.0000, 54.9050
550.2000, 54.8046
550.4000, 54.6931
550.6000, 54.5788
550.8000, 54.4664
551.0000, 54.3577
551.2000, 54.2533
551.4000, 54.1526
551.6000, 54.0545
551.8000, 53.9576
552.0000, 53.8598
552.2000, 53.7588
552.4000, 53.6516
552.6000, 53.5343
552.8000, 53.4010
553.0000, 53.2434
553.2000, 53.0494
553.4000, 52.8022
553.6000, 52.4800
553.8000, 52.0558
554.0000, 51.4981
554.2000, 50.7727
554.4000, 49.8451
554.6000, 48.6838
554.8000, 47.2637
555.0000, 45.5696
555.2000, 43.5990
555.4000, 41.3644
555.6000, 38.8934
555.8000, 36.2279
556.0000, 33.4215
556.2000, 30.5359
556.4000, 27.6356
556.6000, 24.7836
556.8000, 22.0372
557.0000, 19.4440
557.2000, 17.0400
557.4000, 14.8489
557.6000, 12.8822
557.8000, 11.1404
558.0000,  9.6156
558.2000,  8.2929
558.4000,  7.1537
558.6000,  6.1772
558.8000,  5.3423
559.0000,  4.6291
559.2000,  4.0195
559.4000,  3.4978
559.6000,  3.0506
559.8000,  2.6664
560.0000,  2.3360
560.2000,  2.0512
560.4000,  1.8054
560.6000,  1.5929
560.8000,  1.4090
561.0000,  1.2493
561.2000,  1.1105
561.4000,  0.9894
561.6000,  0.8834
561.8000,  0.7905
562.0000,  0.7086
562.2000,  0.6363
562.4000,  0.5722
562.6000,  0.5153
562.8000,  0.4648
563.0000,  0.4199
563.2000,  0.3800
563.4000,  0.3446
563.6000,  0.3133
563.8000,  0.2854
564.0000,  0.2606
564.2000,  0.2384
564.4000,  0.2184
564.6000,  0.2003
564.8000,  0.1838
565.0000,  0.1687
565.2000,  0.1550
565.4000,  0.1424
565.6000,  0.1310
565.8000,  0.1206
566.0000,  0.1110
566.2000,  0.1023
566.4000,  0.0943
566.6000,  0.0870
566.8000,  0.0803
567.0000,  0.0744
567.2000,  0.0690
567.4000,  0.0644
567.6000,  0.0602
567.8000,  0.0565
568.0000,  0.0531
568.2000,  0.0498
568.4000,  0.0464
568.6000,  0.0433
568.8000,  0.0397
569.0000,  0.0366
569.2000,  0.0346
569.4000,  0.0308
569.6000,  0.0326
569.8000,  0.0326
570.0000,  0.0289
